Popes,Martin V,1417-01-01,1431-01-01
Popes,Eugene IV,1431-01-01,1447-01-01
Popes,Nicholas V,1447-01-01,1455-01-01
Popes,Callixtus III,1455-01-01,1458-01-01
Popes,Pius II,1458-01-01,1464-01-01
Popes,Paul II,1464-01-01,1471-01-01
Popes,Sixtus IV,1471-01-01,1484-01-01
Popes,Innocent VIII,1484-01-01,1492-01-01
Popes,Alexander VI,1492-01-01,1503-01-01
Popes,Pius III,1503-01-01,1503-06-01
Popes,Julius II,1503-06-01,1513-06-01
Popes,Leo X,1513-06-01,1521-01-01
Popes,Adrian VI,1522-01-01,1523-06-01
Popes,Clement VII,1523-06-01,1534-06-01
Popes,Paul III,1534-06-01,1549-01-01
Popes,Julius III,1550-01-01,1555-01-01
Popes,Marcellus II,1555-01-01,1555-06-01
Popes,Paul IV,1555-06-01,1559-01-01
ExternalEvents,Printing Press,1440-01-01
ItalianWars,First Italian War,1494-01-01,1498-01-01 
ItalianWars,Second Italian War,1499-01-01,1501-01-01
ItalianWars,Third Italian War,1502-01-01,1504-01-01
ItalianWars,Fourth Italian War,1508-01-01,1516-01-01
ItalianWars,Fifth Italian War,1521-01-01,1526-01-01
ItalianWars,Sixth Italian War,1526-01-01,1530-01-01
ItalianWars,Seventh Italian War,1536-01-01,1538-01-01
ItalianWars,Eighth Italian War,1542-01-01,1546-01-01
ItalianWars,Ninth Italian War,1551-01-01,1559-01-01
